Gene.Symbol,EnsID,entrez_id,hgnc_symbol,tissue,phase,pval,fdr,rsq,rAmp,fitmean,amp,G1Acro,Peg,hgnc_name,gene_biotype,type
C7orf73,ENSG00000243317,647087,C7orf73,Artery Tibial,0.822719404,0.721240059,0.89033263,0.012786065,0.045914113,27.63546754,1.268857982,0.84386682,6.262037891,chromosome 7 open reading frame 73,protein_coding,protein_coding
C8orf33,ENSG00000182307,65265,C8orf33,Artery Tibial,2.106257992,0.74680926,0.901713274,0.035573394,0.053150853,52.26751584,2.778063056,0.84386682,1.262391172,chromosome 8 open reading frame 33,protein_coding,protein_coding
C8orf37,ENSG00000156172,157657,C8orf37,Artery Tibial,2.384101592,0.104270428,0.359811959,0.084882055,0.120493203,3.145347033,0.378992938,0.84386682,1.540234772,chromosome 8 open reading frame 37,protein_coding,protein_coding
C8orf4,ENSG00000176907,56892,C8orf4,Artery Tibial,5.606422908,0.428953566,0.713701469,0.021406703,0.209286014,34.11973895,7.14078415,0.84386682,4.762556088,chromosome 8 open reading frame 4,protein_coding,protein_coding
C8orf44,ENSG00000213865,56260,C8orf44,Artery Tibial,3.062444074,0.006146161,0.088197875,0.218151275,0.245013839,5.543919226,1.358336933,0.84386682,2.218577254,chromosome 8 open reading frame 44,protein_coding,protein_coding
C8orf46,ENSG00000169085,254778,C8orf46,Artery Tibial,2.07006127,0.104290541,0.359811959,0.120974302,0.419551293,5.31013909,2.227875719,0.84386682,1.22619445,chromosome 8 open reading frame 46,protein_coding,protein_coding
C8orf48,ENSG00000164743,157773,C8orf48,Artery Tibial,0.437588942,0.371516519,0.669637934,0.00360242,0.052087356,2.009044722,0.104645829,0.84386682,5.876907429,chromosome 8 open reading frame 48,protein_coding,protein_coding
C8orf58,ENSG00000241852,541565,C8orf58,Artery Tibial,4.497168015,0.043525818,0.236589753,0.112823845,0.146099636,11.21844684,1.639010999,0.84386682,3.653301195,chromosome 8 open reading frame 58,protein_coding,protein_coding
C8orf59,ENSG00000176731,401466,C8orf59,Artery Tibial,2.6168605,0.199301694,0.49278469,0.015252307,0.035568421,43.75981792,1.556467619,0.84386682,1.77299368,chromosome 8 open reading frame 59,protein_coding,protein_coding
C8orf76,ENSG00000189376,84933,C8orf76,Artery Tibial,1.130842975,0.48768951,0.757100408,0.079508683,0.110504158,12.1726632,1.345129902,0.84386682,0.286976155,chromosome 8 open reading frame 76,protein_coding,protein_coding
C8orf82,ENSG00000213563,414919,C8orf82,Artery Tibial,0.99362227,0.007155604,0.096616754,0.082545611,0.160325853,23.49827425,3.767380859,0.84386682,0.149755449,chromosome 8 open reading frame 82,protein_coding,protein_coding
C9orf114,ENSG00000198917,51490,SPOUT1,Artery Tibial,1.374048804,0.761323791,0.908206502,0.034908737,0.071705229,21.34566174,1.530595561,0.84386682,0.530181983,SPOUT domain containing methyltransferase 1,protein_coding,protein_coding
C9orf116,ENSG00000160345,138162,C9orf116,Artery Tibial,2.064954034,0.779375238,0.916367987,0.028374021,0.127266816,1.43237113,0.182293313,0.84386682,1.221087214,chromosome 9 open reading frame 116,protein_coding,protein_coding
C9orf142,ENSG00000148362,286257,C9orf142,Artery Tibial,5.192658356,0.025182633,0.181617634,0.139420614,0.200148248,43.85877556,8.778257072,0.84386682,4.348791536,chromosome 9 open reading frame 142,protein_coding,protein_coding
C9orf156,ENSG00000136932,51531,TRMO,Artery Tibial,1.293262812,0.406779369,0.69626852,0.04238745,0.109400121,4.190201183,0.458408515,0.84386682,0.449395992,tRNA methyltransferase O,protein_coding,protein_coding
C9orf16,ENSG00000171159,79095,C9orf16,Artery Tibial,6.173143399,0.11043784,0.369139035,0.057758695,0.119045438,62.75903603,7.471176915,0.84386682,5.329276579,chromosome 9 open reading frame 16,protein_coding,protein_coding
C9orf172,ENSG00000232434,389813,C9orf172,Artery Tibial,3.819954143,0.407876776,0.697510205,0.035746266,0.133958611,16.92462245,2.267198916,0.84386682,2.976087323,chromosome 9 open reading frame 172,protein_coding,protein_coding
C9orf3,ENSG00000148120,84909,C9orf3,Artery Tibial,4.000285671,0.005581332,0.083560015,0.218268615,0.182630538,32.3231764,5.903199096,0.84386682,3.156418851,chromosome 9 open reading frame 3,protein_coding,protein_coding
C9orf37,ENSG00000203993,85026,ARRDC1-AS1,Artery Tibial,0.247427157,0.188988251,0.479778769,0.001344243,0.012209604,17.97203945,0.219431492,0.84386682,5.686745644,ARRDC1 antisense RNA 1,antisense_RNA,antisense_RNA
C9orf40,ENSG00000135045,55071,C9orf40,Artery Tibial,1.855874108,0.424151321,0.710439254,0.000552345,0.010814633,5.754655732,0.062234489,0.84386682,1.012007287,chromosome 9 open reading frame 40,protein_coding,protein_coding
C9orf41,ENSG00000156017,138199,CARNMT1,Artery Tibial,3.901925675,0.960633771,0.986140232,0.045574699,0.12198511,5.07023206,0.618492817,0.84386682,3.058058855,carnosine N-methyltransferase 1,protein_coding,protein_coding
C9orf47,ENSG00000186354,286223,C9orf47,Artery Tibial,6.170572693,0.968797725,0.989643324,0.011843635,0.115223949,3.019593223,0.347929456,0.84386682,5.326705872,chromosome 9 open reading frame 47,protein_coding,protein_coding
C9orf64,ENSG00000165118,84267,C9orf64,Artery Tibial,1.845238463,0.574667851,0.81311002,0.071549396,0.12286998,9.289473787,1.141397456,0.84386682,1.001371643,chromosome 9 open reading frame 64,protein_coding,protein_coding
C9orf69,ENSG00000238227,90120,TMEM250,Artery Tibial,5.954904473,0.528810188,0.784423604,0.06385071,0.123153116,24.53791692,3.021920924,0.84386682,5.111037653,transmembrane protein 250,protein_coding,protein_coding
C9orf72,ENSG00000147894,203228,C9orf72,Artery Tibial,2.031165464,0.337662271,0.641417212,0.013311409,0.125624402,15.83574824,1.989356401,0.84386682,1.187298644,chromosome 9 open reading frame 72,protein_coding,protein_coding
C9orf78,ENSG00000136819,51759,C9orf78,Artery Tibial,1.524321053,0.23704642,0.537068924,0.124467077,0.079613804,37.20291697,2.961865742,0.84386682,0.680454232,chromosome 9 open reading frame 78,protein_coding,protein_coding
C9orf85,ENSG00000155621,138241,C9orf85,Artery Tibial,2.328268656,0.122116708,0.38763227,0.099757493,0.098108885,6.586558632,0.646199921,0.84386682,1.484401835,chromosome 9 open reading frame 85,protein_coding,protein_coding
C9orf89,ENSG00000165233,84270,CARD19,Artery Tibial,6.245146908,0.997912749,0.999292424,0.014866399,0.045846591,36.58900762,1.677481281,0.84386682,5.401280088,caspase recruitment domain family member 19,protein_coding,protein_coding
C9orf9,ENSG00000165698,11092,SPACA9,Artery Tibial,2.658995754,0.108990358,0.367615148,0.139129954,0.157601582,11.0108608,1.735329083,0.84386682,1.815128934,sperm acrosome associated 9,protein_coding,protein_coding
C9orf91,ENSG00000157693,203197,TMEM268,Artery Tibial,1.960454693,0.923242631,0.974000982,0.022022575,0.061008043,9.052046886,0.552247664,0.84386682,1.116587873,transmembrane protein 268,protein_coding,protein_coding
CA11,ENSG00000063180,770,CA11,Artery Tibial,1.66693658,0.160477197,0.44447592,0.084204285,0.24054325,15.66804827,3.768843246,0.84386682,0.82306976,carbonic anhydrase 11,protein_coding,protein_coding
CA12,ENSG00000074410,771,CA12,Artery Tibial,5.51452445,0.678383455,0.86791499,0.012508144,0.295977562,6.109076886,1.808149681,0.84386682,4.67065763,carbonic anhydrase 12,protein_coding,protein_coding
CA3,ENSG00000164879,761,CA3,Artery Tibial,3.640830326,0.00108423,0.037824493,0.032506432,0.99629799,9.203162004,9.169091802,0.84386682,2.796963506,carbonic anhydrase 3,protein_coding,protein_coding
CA5B,ENSG00000169239,11238,CA5B,Artery Tibial,3.932990832,0.06343691,0.284594871,0.133770964,0.197861003,14.98855345,2.965650218,0.84386682,3.089124012,carbonic anhydrase 5B,protein_coding,protein_coding
CA5BP1,ENSG00000186312,340591,CA5BP1,Artery Tibial,5.686502713,0.655523745,0.856577674,0.050549175,0.099414329,8.744840421,0.869362442,0.84386682,4.842635893,carbonic anhydrase 5B pseudogene 1,transcribed_unprocessed_pseudogene,other
CA9,ENSG00000107159,768,CA9,Artery Tibial,5.086376557,0.646767607,0.852038366,0.04752866,0.39088838,3.511577282,1.372634756,0.84386682,4.242509737,carbonic anhydrase 9,protein_coding,protein_coding
CAAP1,ENSG00000120159,79886,CAAP1,Artery Tibial,3.127104326,0.472630764,0.745252885,0.062764325,0.097869116,14.13392334,1.383274586,0.84386682,2.283237505,caspase activity and apoptosis inhibitor 1,protein_coding,protein_coding
CAB39,ENSG00000135932,51719,CAB39,Artery Tibial,2.51369656,0.766261058,0.910109432,0.029951214,0.052857466,80.34510316,4.246838589,0.84386682,1.66982974,calcium binding protein 39,protein_coding,protein_coding
CAB39L,ENSG00000102547,81617,CAB39L,Artery Tibial,2.492609332,0.492735101,0.759975247,0.08888071,0.170418044,41.12999805,7.009293833,0.84386682,1.648742512,calcium binding protein 39 like,protein_coding,protein_coding
CABIN1,ENSG00000099991,23523,CABIN1,Artery Tibial,3.261759985,0.038317155,0.221809588,0.023129428,0.056904383,51.77746473,2.946364665,0.84386682,2.417893165,calcineurin binding protein 1,protein_coding,protein_coding
CABLES1,ENSG00000134508,91768,CABLES1,Artery Tibial,2.077592576,0.886873487,0.960507485,0.013941312,0.081521844,4.29806288,0.350386012,0.84386682,1.233725756,Cdk5 and Abl enzyme substrate 1,protein_coding,protein_coding
CABLES2,ENSG00000149679,81928,CABLES2,Artery Tibial,1.645112416,0.996323944,0.998945266,0.006254262,0.039106512,4.640069898,0.181456951,0.84386682,0.801245596,Cdk5 and Abl enzyme substrate 2,protein_coding,protein_coding
CABP1,ENSG00000157782,9478,CABP1,Artery Tibial,4.041979049,0.001170741,0.039465806,0.289134459,0.386318669,9.993174077,3.860549711,0.84386682,3.198112229,calcium binding protein 1,protein_coding,protein_coding
CABYR,ENSG00000154040,26256,CABYR,Artery Tibial,1.974813631,0.717075366,0.888508346,0.022174752,0.112790843,1.829810631,0.206385883,0.84386682,1.130946811,calcium binding tyrosine phosphorylation regulated,protein_coding,protein_coding
CACFD1,ENSG00000160325,11094,CACFD1,Artery Tibial,0.920007038,0.584969026,0.819371429,0.06366171,0.104365209,16.75365443,1.748498652,0.84386682,0.076140218,calcium channel flower domain containing 1,protein_coding,protein_coding
CACHD1,ENSG00000158966,57685,CACHD1,Artery Tibial,1.542312913,0.138894181,0.41438974,0.131122007,0.253786737,10.30665655,2.615692734,0.84386682,0.698446093,cache domain containing 1,protein_coding,protein_coding
CACNA1A,ENSG00000141837,773,CACNA1A,Artery Tibial,3.463785907,0.032957002,0.204689074,0.034886804,0.207751037,2.656200429,0.551828393,0.84386682,2.619919086,calcium voltage-gated channel subunit alpha1 A,protein_coding,protein_coding
CACNA1C,ENSG00000151067,775,CACNA1C,Artery Tibial,3.571687241,0.095630505,0.34550896,0.088254169,0.136695829,24.88905713,3.402230304,0.84386682,2.727820421,calcium voltage-gated channel subunit alpha1 C,protein_coding,protein_coding
CACNA1H,ENSG00000196557,8912,CACNA1H,Artery Tibial,3.063834631,0.381078957,0.677559019,0.047891642,0.104316169,115.3848492,12.03650544,0.84386682,2.21996781,calcium voltage-gated channel subunit alpha1 H,protein_coding,protein_coding
CACNA2D1,ENSG00000153956,781,CACNA2D1,Artery Tibial,3.335922704,0.00316218,0.065053886,0.180064699,0.194449712,18.88967416,3.673091692,0.84386682,2.492055884,calcium voltage-gated channel auxiliary subunit alpha2delta 1,protein_coding,protein_coding
CACNA2D2,ENSG00000007402,9254,CACNA2D2,Artery Tibial,1.191807314,0.252182788,0.55570665,0.032896123,0.140259787,2.108871217,0.295789827,0.84386682,0.347940494,calcium voltage-gated channel auxiliary subunit alpha2delta 2,protein_coding,protein_coding
CACNA2D3,ENSG00000157445,55799,CACNA2D3,Artery Tibial,3.49599148,0.003569164,0.06926395,0.165414716,0.353599897,2.747308978,0.971448172,0.84386682,2.65212466,calcium voltage-gated channel auxiliary subunit alpha2delta 3,protein_coding,protein_coding
CACNB1,ENSG00000067191,782,CACNB1,Artery Tibial,4.148014546,0.000344841,0.021448373,0.225613053,0.307363647,28.85136611,8.867861096,0.84386682,3.304147726,calcium voltage-gated channel auxiliary subunit beta 1,protein_coding,protein_coding
CACNB2,ENSG00000165995,783,CACNB2,Artery Tibial,1.597778524,0.063737593,0.28498635,0.101491654,0.193016037,12.15254913,2.345636878,0.84386682,0.753911704,calcium voltage-gated channel auxiliary subunit beta 2,protein_coding,protein_coding
CACNB3,ENSG00000167535,784,CACNB3,Artery Tibial,0.357886111,0.603431394,0.828944537,0.005213723,0.053462598,11.46792296,0.613104958,0.84386682,5.797204598,calcium voltage-gated channel auxiliary subunit beta 3,protein_coding,protein_coding
CACNB4,ENSG00000182389,785,CACNB4,Artery Tibial,4.182839178,0.000489488,0.026413007,0.21963283,0.398505214,2.058511246,0.820327465,0.84386682,3.338972358,calcium voltage-gated channel auxiliary subunit beta 4,protein_coding,protein_coding
CACTIN,ENSG00000105298,58509,CACTIN,Artery Tibial,1.44251448,0.179070211,0.467132762,0.105133591,0.120757824,22.17231706,2.677480768,0.84386682,0.59864766,"cactin, spliceosome C complex subunit",protein_coding,protein_coding
CACTIN-AS1,ENSG00000226800,404665,CACTIN-AS1,Artery Tibial,2.451394142,0.267758989,0.573316099,0.052234356,0.127025763,2.623897106,0.333302533,0.84386682,1.607527322,CACTIN antisense RNA 1,antisense_RNA,antisense_RNA
CACUL1,ENSG00000151893,143384,CACUL1,Artery Tibial,1.585817273,0.023976539,0.176401906,0.125997581,0.145211651,14.16507582,2.05693404,0.84386682,0.741950453,CDK2 associated cullin domain 1,protein_coding,protein_coding
CACYBP,ENSG00000116161,27101,CACYBP,Artery Tibial,4.365545177,0.473248405,0.745623954,0.074613537,0.123913529,36.18109059,4.483326616,0.84386682,3.521678357,calcyclin binding protein,protein_coding,protein_coding
CAD,ENSG00000084774,790,CAD,Artery Tibial,4.796098391,0.839488195,0.94203477,0.019667968,0.072782712,13.94805028,1.015176928,0.84386682,3.952231571,"carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase",protein_coding,protein_coding
CADM1,ENSG00000182985,23705,CADM1,Artery Tibial,4.294454419,0.793655852,0.923716013,0.057216228,0.267113128,2.303234501,0.615224171,0.84386682,3.450587599,cell adhesion molecule 1,protein_coding,protein_coding
CADM3,ENSG00000162706,57863,CADM3,Artery Tibial,1.498717967,0.744451704,0.900461217,0.00638967,0.116276384,7.905053576,0.919171045,0.84386682,0.654851147,cell adhesion molecule 3,protein_coding,protein_coding
CADM4,ENSG00000105767,199731,CADM4,Artery Tibial,4.229248489,0.384655735,0.680691362,0.000177896,0.020168071,2.985343563,0.060208621,0.84386682,3.385381669,cell adhesion molecule 4,protein_coding,protein_coding
CADPS2,ENSG00000081803,93664,CADPS2,Artery Tibial,2.433850976,0.120529311,0.385925336,0.009524936,0.045152695,9.141738345,0.412774126,0.84386682,1.589984155,calcium dependent secretion activator 2,protein_coding,protein_coding
CAHM,ENSG00000270419,100526820,CAHM,Artery Tibial,4.008037426,0.942183485,0.979601779,0.03524882,0.13509544,3.410738961,0.460775281,0.84386682,3.164170606,colon adenocarcinoma hypermethylated (non-protein coding),lincRNA,"lincRNA,miRNA"
CALCOCO1,ENSG00000012822,57658,CALCOCO1,Artery Tibial,2.091583379,0.352126195,0.654147995,0.159026821,0.169807553,215.7475007,36.63555525,0.84386682,1.247716559,calcium binding and coiled-coil domain 1,protein_coding,protein_coding
CALCOCO2,ENSG00000136436,10241,CALCOCO2,Artery Tibial,1.303389957,0.000729088,0.031583727,0.314766195,0.379477531,90.71514074,34.42435759,0.84386682,0.459523137,calcium binding and coiled-coil domain 2,protein_coding,protein_coding
CALCRL,ENSG00000064989,10203,CALCRL,Artery Tibial,2.595049277,0.440493775,0.720611933,0.043503613,0.123929474,24.81621142,3.075460023,0.84386682,1.751182457,calcitonin receptor like receptor,protein_coding,protein_coding
CALD1,ENSG00000122786,800,CALD1,Artery Tibial,3.238101858,0.029866381,0.196761346,0.096313315,0.140313667,1237.569007,173.6478461,0.84386682,2.394235038,caldesmon 1,protein_coding,protein_coding
CALHM2,ENSG00000138172,51063,CALHM2,Artery Tibial,0.844380489,0.233787255,0.533581809,0.077853816,0.150431619,52.03788425,7.82814318,0.84386682,0.000513669,calcium homeostasis modulator 2,protein_coding,protein_coding
CALM1,ENSG00000198668,801,CALM1,Artery Tibial,3.734350887,0.000293403,0.019736947,0.23966667,0.229575869,401.0053151,92.06114358,0.84386682,2.890484067,calmodulin 1,protein_coding,protein_coding
CALM2,ENSG00000143933,805,CALM2,Artery Tibial,4.071643335,0.002067258,0.051976789,0.223905369,0.193154309,1052.149451,203.2272002,0.84386682,3.227776515,calmodulin 2,protein_coding,protein_coding
CALM2P2,ENSG00000229097,NA,NA,Artery Tibial,3.395911505,0.662996708,0.860421629,0.025581607,0.131023233,5.650681898,0.740370611,0.84386682,2.552044685,NA,NA,NoEntrez
CALM3,ENSG00000160014,805,CALM2,Artery Tibial,3.990024812,0.117070577,0.379385554,0.132604631,0.179370003,477.6073518,85.66843235,0.84386682,3.146157991,calmodulin 2,protein_coding,protein_coding
CALML4,ENSG00000129007,91860,CALML4,Artery Tibial,1.672690829,0.212189714,0.509092979,0.178524961,0.246890793,9.144944108,2.257802506,0.84386682,0.828824009,calmodulin like 4,protein_coding,protein_coding
CALR,ENSG00000179218,811,CALR,Artery Tibial,5.083025924,0.046654216,0.245454165,0.135002428,0.186223626,465.4856216,86.68442039,0.84386682,4.239159104,calreticulin,protein_coding,protein_coding
CALU,ENSG00000128595,813,CALU,Artery Tibial,5.758111784,0.315516355,0.619475008,0.037038124,0.10186203,204.003859,20.7802472,0.84386682,4.914244964,calumenin,protein_coding,protein_coding
CAMK1,ENSG00000134072,8536,CAMK1,Artery Tibial,4.748866971,0.426680526,0.7123689,0.025903518,0.049962435,75.75279278,3.784793964,0.84386682,3.905000151,calcium/calmodulin dependent protein kinase I,protein_coding,protein_coding
CAMK1D,ENSG00000183049,57118,CAMK1D,Artery Tibial,4.216600085,0.39824207,0.691176093,0.09339435,0.187197597,8.595109791,1.608983896,0.84386682,3.372733265,calcium/calmodulin dependent protein kinase ID,protein_coding,protein_coding
CAMK2D,ENSG00000145349,817,CAMK2D,Artery Tibial,4.544218923,0.375605037,0.672529382,0.053320787,0.105417382,37.61535164,3.965311911,0.84386682,3.700352103,calcium/calmodulin dependent protein kinase II delta,protein_coding,protein_coding
CAMK2G,ENSG00000148660,818,CAMK2G,Artery Tibial,3.15213788,0.008396636,0.10444274,0.226288069,0.23780503,131.4260604,31.25377829,0.84386682,2.30827106,calcium/calmodulin dependent protein kinase II gamma,protein_coding,protein_coding
CAMK2N1,ENSG00000162545,55450,CAMK2N1,Artery Tibial,1.20602573,0.050621415,0.25448118,0.129452167,0.427394416,13.17730251,5.631905517,0.84386682,0.36215891,calcium/calmodulin dependent protein kinase II inhibitor 1,protein_coding,protein_coding
CAMKK1,ENSG00000004660,84254,CAMKK1,Artery Tibial,4.118911182,0.147916025,0.427842351,0.10302209,0.35994344,33.77768113,12.15805474,0.84386682,3.275044362,calcium/calmodulin dependent protein kinase kinase 1,protein_coding,protein_coding
CAMKK2,ENSG00000110931,10645,CAMKK2,Artery Tibial,3.394670671,0.584794383,0.819342013,0.055187985,0.080221597,31.74467343,2.5466084,0.84386682,2.550803851,calcium/calmodulin dependent protein kinase kinase 2,protein_coding,protein_coding
CAMKMT,ENSG00000143919,79823,CAMKMT,Artery Tibial,1.299826036,0.109443359,0.367848622,0.116370906,0.168386716,3.698013803,0.6226964,0.84386682,0.455959216,calmodulin-lysine N-methyltransferase,protein_coding,protein_coding
CAMLG,ENSG00000164615,819,CAMLG,Artery Tibial,2.108463994,0.067979244,0.293117748,0.107172083,0.138031518,81.3423856,11.22781299,0.84386682,1.264597174,calcium modulating ligand,protein_coding,protein_coding
CAMSAP1,ENSG00000130559,157922,CAMSAP1,Artery Tibial,2.113099958,0.733874032,0.895704233,0.055899768,0.080294563,15.26292599,1.225529975,0.84386682,1.269233138,calmodulin regulated spectrin associated protein 1,protein_coding,protein_coding
CAMSAP2,ENSG00000118200,23271,CAMSAP2,Artery Tibial,2.426638434,0.524763803,0.781791785,0.081381176,0.093045953,30.59574862,2.846810587,0.84386682,1.582771614,calmodulin regulated spectrin associated protein family member 2,protein_coding,protein_coding
CAMTA1,ENSG00000171735,23261,CAMTA1,Artery Tibial,1.008540233,0.65045044,0.854113067,0.058806013,0.105001113,13.22001151,1.388115928,0.84386682,0.164673413,calmodulin binding transcription activator 1,protein_coding,protein_coding
CAMTA2,ENSG00000108509,23125,CAMTA2,Artery Tibial,3.44854713,0.637514917,0.846044511,2.18034E-05,0.001297786,57.1126852,0.074120051,0.84386682,2.60468031,calmodulin binding transcription activator 2,protein_coding,protein_coding
CAND1,ENSG00000111530,55832,CAND1,Artery Tibial,2.559314257,0.057031117,0.270051698,0.109647804,0.096023947,21.68117084,2.081911609,0.84386682,1.715447437,cullin associated and neddylation dissociated 1,protein_coding,protein_coding
CAND2,ENSG00000144712,23066,CAND2,Artery Tibial,3.145187218,0.896895523,0.964813893,0.031436616,0.087877595,17.632757,1.549524279,0.84386682,2.301320397,cullin associated and neddylation dissociated 2 (putative),protein_coding,protein_coding
CANT1,ENSG00000171302,124583,CANT1,Artery Tibial,5.710302375,0.151728086,0.432953352,0.143843122,0.124858712,22.51355803,2.811013849,0.84386682,4.866435555,calcium activated nucleotidase 1,protein_coding,protein_coding
CANX,ENSG00000127022,821,CANX,Artery Tibial,1.777832176,0.075669722,0.307621001,0.022812229,0.050777962,251.6068696,12.77608396,0.84386682,0.933965356,calnexin,protein_coding,protein_coding
CAP1,ENSG00000131236,10487,CAP1,Artery Tibial,5.821344375,0.820310987,0.935636033,0.002711491,0.013517227,399.4239819,5.399104602,0.84386682,4.977477555,adenylate cyclase associated protein 1,protein_coding,protein_coding
CAP2,ENSG00000112186,10486,CAP2,Artery Tibial,3.846346791,8.09217E-06,0.002427811,0.241857069,0.322404709,99.79639345,32.17482716,0.84386682,3.002479971,"CAP, adenylate cyclase-associated protein, 2 (yeast)",protein_coding,protein_coding
CAPG,ENSG00000042493,822,CAPG,Artery Tibial,0.402478632,0.901689872,0.966229714,0.019537914,0.1672841,59.23166678,9.90851604,0.84386682,5.841797119,"capping actin protein, gelsolin like",protein_coding,protein_coding
CAPN1,ENSG00000014216,823,CAPN1,Artery Tibial,2.060657242,0.571924942,0.811934708,0.003816848,0.014825612,87.70401848,1.300265715,0.84386682,1.216790422,calpain 1,protein_coding,protein_coding
CAPN10,ENSG00000142330,11132,CAPN10,Artery Tibial,0.241178444,0.835136542,0.940679662,0.008689963,0.032478175,14.0340258,0.455799542,0.84386682,5.680496931,calpain 10,protein_coding,protein_coding
CAPN10-AS1,ENSG00000260942,101752400,CAPN10-AS1,Artery Tibial,3.219532903,0.068644565,0.29404258,0.122397465,0.235730357,2.409754338,0.568052251,0.84386682,2.375666083,CAPN10 antisense RNA 1 (head to head),antisense_RNA,antisense_RNA
CAPN15,ENSG00000103326,6650,CAPN15,Artery Tibial,6.120048517,0.178287511,0.466264112,0.139721323,0.199577885,11.93997292,2.382954543,0.84386682,5.276181697,calpain 15,protein_coding,protein_coding
CAPN2,ENSG00000162909,824,CAPN2,Artery Tibial,3.358552306,0.312285513,0.616717546,0.071010446,0.077523241,124.8706964,9.680381097,0.84386682,2.514685486,calpain 2,protein_coding,protein_coding
CAPN3,ENSG00000092529,825,CAPN3,Artery Tibial,3.438343526,0.05379474,0.263317193,0.089822468,0.163829954,24.94060183,4.08601764,0.84386682,2.594476706,calpain 3,protein_coding,protein_coding
CAPN5,ENSG00000149260,726,CAPN5,Artery Tibial,3.853389835,0.163468954,0.448545414,0.086070591,0.294867352,17.7102483,5.222174012,0.84386682,3.009523015,calpain 5,protein_coding,protein_coding
CAPN6,ENSG00000077274,827,CAPN6,Artery Tibial,3.882666246,0.046694047,0.245454165,0.166391113,0.543083459,4.57269637,2.483355763,0.84386682,3.038799426,calpain 6,protein_coding,protein_coding
CAPN7,ENSG00000131375,23473,CAPN7,Artery Tibial,2.495858779,0.131071289,0.401846976,0.127473791,0.126948828,34.39525423,4.366437213,0.84386682,1.651991959,calpain 7,protein_coding,protein_coding
CAPNS1,ENSG00000126247,826,CAPNS1,Artery Tibial,5.371816803,0.734668527,0.896029981,0.041845823,0.047043203,286.158146,13.46179588,0.84386682,4.527949983,calpain small subunit 1,protein_coding,protein_coding
CAPRIN1,ENSG00000135387,4076,CAPRIN1,Artery Tibial,1.887704204,0.789635129,0.921455976,0.026957077,0.041714597,54.14089761,2.25846575,0.84386682,1.043837384,cell cycle associated protein 1,protein_coding,protein_coding
CAPRIN2,ENSG00000110888,65981,CAPRIN2,Artery Tibial,3.162327266,0.176258334,0.464020658,0.087052584,0.112737284,18.91188615,2.132074675,0.84386682,2.318460446,caprin family member 2,protein_coding,protein_coding
CAPS,ENSG00000105519,828,CAPS,Artery Tibial,2.577211148,0.083586184,0.323607417,0.081284539,0.123767589,13.18181967,1.631482041,0.84386682,1.733344328,calcyphosine,protein_coding,protein_coding
CAPS2,ENSG00000180881,84698,CAPS2,Artery Tibial,3.351389611,4.6037E-05,0.006770593,0.31564224,0.308393609,2.743208476,0.845987961,0.84386682,2.507522791,calcyphosine 2,protein_coding,protein_coding
CAPZA1,ENSG00000116489,829,CAPZA1,Artery Tibial,6.261824399,0.961225544,0.986342731,0.012959679,0.046431134,45.45595366,2.110571485,0.84386682,5.417957579,capping actin protein of muscle Z-line alpha subunit 1,protein_coding,protein_coding
CAPZA2,ENSG00000198898,830,CAPZA2,Artery Tibial,3.106068685,0.680883926,0.868671883,0.031741235,0.055630766,75.73323284,4.213097761,0.84386682,2.262201865,capping actin protein of muscle Z-line alpha subunit 2,protein_coding,protein_coding
CAPZB,ENSG00000077549,832,CAPZB,Artery Tibial,4.239364061,0.654446987,0.856170151,0.062371917,0.050640902,249.4648221,12.63312364,0.84386682,3.395497241,capping actin protein of muscle Z-line beta subunit,protein_coding,protein_coding
CARD10,ENSG00000100065,29775,CARD10,Artery Tibial,1.061918917,0.569128252,0.810316335,0.022703919,0.245138787,5.601372543,1.37311367,0.84386682,0.218052096,caspase recruitment domain family member 10,protein_coding,protein_coding
CARD16,ENSG00000204397,114769,CARD16,Artery Tibial,5.495041607,0.544929928,0.794179913,0.047401044,0.225838063,5.113631785,1.154852699,0.84386682,4.651174787,caspase recruitment domain family member 16,protein_coding,protein_coding
CARD6,ENSG00000132357,84674,CARD6,Artery Tibial,1.089797873,0.004417749,0.075307552,0.146095671,0.536302012,4.550042751,2.440197081,0.84386682,0.245931053,caspase recruitment domain family member 6,protein_coding,protein_coding
CARD8,ENSG00000105483,22900,CARD8,Artery Tibial,1.217908438,0.713049118,0.886997301,0.005814634,0.06314384,6.490248678,0.409819227,0.84386682,0.374041618,caspase recruitment domain family member 8,protein_coding,protein_coding
CARF,ENSG00000138380,79800,CARF,Artery Tibial,2.922938527,0.023979284,0.176401906,0.217592865,0.271469216,6.84503732,1.858216914,0.84386682,2.079071707,calcium responsive transcription factor,protein_coding,protein_coding
CARHSP1,ENSG00000153048,23589,CARHSP1,Artery Tibial,4.726140376,0.544688206,0.794179913,0.004785707,0.039652806,21.66793777,0.859194527,0.84386682,3.882273555,calcium regulated heat stable protein 1,protein_coding,protein_coding
CARKD,ENSG00000213995,55739,NAXD,Artery Tibial,0.766430698,0.761842182,0.908247641,0.012148618,0.049815966,45.35914246,2.259609488,0.84386682,6.205749185,NAD(P)HX dehydratase,protein_coding,protein_coding
CARM1,ENSG00000142453,10498,CARM1,Artery Tibial,0.794206341,0.708523794,0.8844608,0.001649453,0.018981516,48.86695265,0.927568834,0.84386682,6.233524828,coactivator associated arginine methyltransferase 1,protein_coding,protein_coding
